id,Judul,Link,Thumbnail_link,est_upload_date,current_views
1,BTS | Dear Class Of 2020,/watch?v=ErTgtL1Tjns,http://i3.ytimg.com/vi/ErTgtL1Tjns/hqdefault.jpg,6/8/2020,15076725
2,Nella Kharisma feat. Dory Harsa - Banyu Moto [OFFICIAL],/watch?v=WBnqReAF8nU,http://i3.ytimg.com/vi/WBnqReAF8nU/hqdefault.jpg,6/11/2020,896530
3,Truth or Dare Billy syahputra dan Amanda Manopo saling BAPERAN ???,/watch?v=XlnxmIgUaKU,http://i3.ytimg.com/vi/XlnxmIgUaKU/hqdefault.jpg,6/10/2020,1624141
4,RUMAH PULUHAN MILIAR MILIK PRILLY AKHIRNYA DIBUKA! #DibalikPintu,/watch?v=vnISCqD54WY,http://i3.ytimg.com/vi/vnISCqD54WY/hqdefault.jpg,6/9/2020,2470157
5,"ANDRE KENA PRANK LAGI ?? PINJEM UANG 3,7M",/watch?v=bylKUuQnM7M,http://i3.ytimg.com/vi/bylKUuQnM7M/hqdefault.jpg,6/4/2020,6116777
6,#SANSVLOG SURPRISE ATHALLA KETEMU AISYAH BAPER!!! PART 1,/watch?v=AAmbmJgBvSQ,http://i3.ytimg.com/vi/AAmbmJgBvSQ/hqdefault.jpg,6/10/2020,886139
7,BTS Commencement Speech | Dear Class Of 2020,/watch?v=AU6uF5sFtwA,http://i3.ytimg.com/vi/AU6uF5sFtwA/hqdefault.jpg,6/8/2020,7433433
8,KEKE BUKAN BONEKA,/watch?v=2cgMU8qLLIE,http://i3.ytimg.com/vi/2cgMU8qLLIE/hqdefault.jpg,6/4/2020,30455684
9,K-POP STARS sing in THREE Languages\U0001f3a4| INA/TAG/SPN | SECRET NUMBER | TRANSONGLATION,/watch?v=wbpwvTpBjmE,http://i3.ytimg.com/vi/wbpwvTpBjmE/hqdefault.jpg,6/11/2020,894951
10,Yuni Shara BANTU Aurel BUKTIKAN INI Ke Raul Lemos & Krisdayanti?? REAKSI KD Jadi SOROTAN,/watch?v=jGvvTRbEK7k,http://i3.ytimg.com/vi/jGvvTRbEK7k/hqdefault.jpg,6/7/2020,1885593
11,"Tuntut Presiden Jokowi Mundur, Siapakah Sebenarnya Sosok Dibalik Eks Anggota TNI Ruslan Buton?",/watch?v=_iEka4n_kxE,http://i3.ytimg.com/vi/_iEka4n_kxE/hqdefault.jpg,6/4/2020,5680746
12,"WayV ??V ""Turn Back Time (??? ?)"" MV",/watch?v=eUCVRF6hjSQ,http://i3.ytimg.com/vi/eUCVRF6hjSQ/hqdefault.jpg,6/10/2020,5004668
13,Happy Asmara - Lilakno Lungaku (Official Music Video ANEKA SAFARI),/watch?v=hibPr5gSeW8,http://i3.ytimg.com/vi/hibPr5gSeW8/hqdefault.jpg,6/9/2020,547361
